"country_id","country_zh","slot","title_zh","title_en","title_original","year","director","letterboxd_url","poster_url","status",""
"BIH","波黑","2","格尔巴维察","Grbavica","Grbavica","2006","Jasmila Žbanić","https://letterboxd.com/tmdb/317/","https://image.tmdb.org/t/p/w500/hzLRMGaQ9v3QDMSimCE12aBtJzG.jpg","live",""
"BIH","波黑","3","艾达，怎么活下去","Quo Vadis, Aida?","Quo Vadis, Aida?","2020","Jasmila Žbanić","https://letterboxd.com/tmdb/728118/","https://image.tmdb.org/t/p/w500/eQy2Tgvmx0FkK8vMMqMW4aX5UXQ.jpg","live",""
"QAT","卡塔尔","1","待定","TBD","TBD","","TBD","待定","待定","pending",""
"SUI","瑞士","1","想飞的钢琴少年","Vitus","Vitus","2006","Fredi M. Murer","https://letterboxd.com/tmdb/14804/","https://image.tmdb.org/t/p/w500/7t5heYtCikNOASRM0KQfXgmD6ge.jpg","live",""
"SUI","瑞士","2","山上的孩子","L'enfant d'en haut","L'enfant d'en haut","2012","Ursula Meier","https://letterboxd.com/tmdb/102000/","https://image.tmdb.org/t/p/w500/uhzVyYYESaASefKvusMu32kCDXN.jpg","live",""
"SUI","瑞士","3","神圣秩序","The Divine Order","Die göttliche Ordnung","2017","Petra Volpe","https://letterboxd.com/tmdb/436167/","https://image.tmdb.org/t/p/w500/xkdnTSj3Zia0rik1wh6agIf2jNF.jpg","live",""
"BRA","巴西","1","上帝之城","City of God","Cidade de Deus","2002","Fernando Meirelles","https://letterboxd.com/tmdb/598/","https://image.tmdb.org/t/p/w500/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg","live",""
"BRA","巴西","2","中央车站","Central Station","Central do Brasil","1998","Walter Salles","https://letterboxd.com/tmdb/666/","https://image.tmdb.org/t/p/w500/zJvp7XjQ2LhPbDVYhFXyucs40vR.jpg","live",""
"BRA","巴西","3","密探","The Secret Agent","O Agente Secreto","2025","Kleber Mendonça Filho","https://letterboxd.com/tmdb/1220564/","https://image.tmdb.org/t/p/w500/iLE2YOmeboeTDC7GlOp1dzh1VFo.jpg","live",""
"MAR","摩洛哥","1","摩洛哥街童","Ali Zaoua: Prince of the Streets","Ali Zaoua","2000","Nabil Ayouch","https://letterboxd.com/tmdb/49167/","https://image.tmdb.org/t/p/w500/5Uf2zhivRpxTNI9c1MjGwjT3Szx.jpg","live",""
"MAR","摩洛哥","2","蓝色长袍","The Blue Caftan","Le Bleu du caftan","2022","Maryam Touzani","https://letterboxd.com/tmdb/958279/","https://image.tmdb.org/t/p/w500/a4ipoP8RnMsISuAkzupbZj4mTKI.jpg","live",""
"MAR","摩洛哥","3","真主的马","Horses of God","Les Chevaux de Dieu","2012","Nabil Ayouch","https://letterboxd.com/tmdb/134908/","https://image.tmdb.org/t/p/w500/xtCYy7sfWIPH2zMUAcHAxxI4Cun.jpg","live",""
"HAI","海地","1","我的海地之爱","Ayiti Mon Amour","Ayiti Mon Amour","2016","Guetty Felin","https://letterboxd.com/tmdb/390408/","https://image.tmdb.org/t/p/w500/9Y0XY0ugip7I5L3kEMzQpCz15Qu.jpg","live",""
"SCO","苏格兰","1","猜火车","Trainspotting","Trainspotting","1996","Danny Boyle","https://letterboxd.com/tmdb/627/","https://image.tmdb.org/t/p/w500/1jUC02qsqS2NxBMFarbIhcQtazV.jpg","live",""
"SCO","苏格兰","2","天使的一份","The Angels' Share","The Angels' Share","2012","Ken Loach","https://letterboxd.com/tmdb/103747/","https://image.tmdb.org/t/p/w500/bt9kJ8gwTMaDcmL0INlJYIZ887t.jpg","live",""
"SCO","苏格兰","3","我的童年","My Childhood","My Childhood","1972","Bill Douglas","https://letterboxd.com/tmdb/114444/","https://image.tmdb.org/t/p/w500/nQ57rkuYVkQ31aDpmjVTw7erh6w.jpg","live",""
"USA","美国","1","出租车司机","Taxi Driver","Taxi Driver","1976","Martin Scorsese","https://letterboxd.com/tmdb/103/","https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg","live",""
"USA","美国","2","天知道","Heaven Knows What","Heaven Knows What","2014","Josh Safdie / Benny Safdie","https://letterboxd.com/tmdb/285024/","https://image.tmdb.org/t/p/original/dlxfg8l3w74wcj5azixgfn6wKmS.jpg","live",""
"USA","美国","3","为所应为","Do the Right Thing","Do the Right Thing","1989","Spike Lee","https://letterboxd.com/tmdb/925/","https://image.tmdb.org/t/p/w500/63rmSDPahrH7C1gEFYzRuIBAN9W.jpg","live",""
"PAR","巴拉圭","1","七个箱子","7 Boxes","7 cajas","2012","Juan Carlos Maneglia / Tana Schémbori","https://letterboxd.com/tmdb/127847/","https://image.tmdb.org/t/p/w500/8RjbBaeMaMpdBZIzd6FWYxW7xHv.jpg","live",""
"PAR","巴拉圭","2","巴拉圭吊床","Paraguayan Hammock","Hamaca paraguaya","2006","Paz Encina","https://letterboxd.com/tmdb/129933/","https://image.tmdb.org/t/p/w500/46XAmfqTmsfBLr0SAlQNjlVjbsb.jpg","live",""
"AUS","澳大利亚","1","悬崖上的野餐","Picnic at Hanging Rock","Picnic at Hanging Rock","1975","Peter Weir","https://letterboxd.com/tmdb/11020/","https://image.tmdb.org/t/p/w500/7BAXwmFN4pZDNb9N6kzmAAwdssi.jpg","live",""
"AUS","澳大利亚","2","猎人","The Hunter","The Hunter","2011","Daniel Nettheim","https://letterboxd.com/tmdb/70954/","https://image.tmdb.org/t/p/original/mNqTCilmXDhyN3DR7HIAzwnRbKZ.jpg","live",""
"AUS","澳大利亚","3","甜蜜国度","Sweet Country","Sweet Country","2017","Warwick Thornton","https://letterboxd.com/tmdb/468210/","https://image.tmdb.org/t/p/w500/szJdZCSiEIYybmPymoP2UTEvOUC.jpg","live",""
"TUR","土耳其","1","冬眠","Winter Sleep","Kış Uykusu","2014","Nuri Bilge Ceylan","https://letterboxd.com/tmdb/265169/","https://image.tmdb.org/t/p/w500/95j83qOqH3Ivz4RYkaSjGT0VSNr.jpg","live",""
"TUR","土耳其","2","三只猴子","Three Monkeys","Üç Maymun","2008","Nuri Bilge Ceylan","https://letterboxd.com/tmdb/8905/","https://image.tmdb.org/t/p/w500/tyIKP8SSTkw9xEXAG9lj5jEnIfW.jpg","live",""
"TUR","土耳其","3","野马","Mustang","Mustang","2015","Deniz Gamze Ergüven","https://letterboxd.com/tmdb/336804/","https://image.tmdb.org/t/p/w500/8lrsjdydRxhKlKiGuMbbzuFKrdN.jpg","live",""
"GER","德国","1","陆上行舟","Fitzcarraldo","Fitzcarraldo","1982","Werner Herzog","https://letterboxd.com/tmdb/9343/","https://image.tmdb.org/t/p/original/1xGDGBNOjVU63fuDjmJwxEwpWYV.jpg","live",""
"GER","德国","2","爱比死更冷","Love Is Colder Than Death","Liebe ist kälter als der Tod","1969","Rainer Werner Fassbinder","https://letterboxd.com/tmdb/12482/","https://image.tmdb.org/t/p/original/bvV1rFkV4Mdmme0Bg4jWrhsDAE4.jpg","live",""
"GER","德国","3","铁皮鼓","The Tin Drum","Die Blechtrommel","1979","Volker Schlöndorff","https://letterboxd.com/tmdb/659/","https://image.tmdb.org/t/p/w500/z4QsBWJbbBxct2zU7LnYSOw8UFz.jpg","live",""
"CUW","库拉索","1","待定","TBD","TBD","","TBD","待定","待定","pending",""
"CIV","科特迪瓦","1","国王之夜","Night of the Kings","La Nuit des rois","2020","Philippe Lacôte","https://letterboxd.com/tmdb/660958/","https://image.tmdb.org/t/p/w500/lkY6Agn4sucxm2VHrPBk7pQah7m.jpg","live",""
"ECU","厄瓜多尔","1","鼠、鼠辈、贼","Ratas, ratones, rateros","Ratas, ratones, rateros","1999","Sebastián Cordero","https://letterboxd.com/tmdb/265087/","https://image.tmdb.org/t/p/w500/327s87WVi7RFfecCDmim4W6kqnY.jpg","live",""
"NED","荷兰","1","攻击","The Assault","De Aanslag","1986","Fons Rademakers","https://letterboxd.com/tmdb/2753/","https://image.tmdb.org/t/p/w500/wvklfVmpr4i5BexkvytKtpfu7DM.jpg","live",""
"NED","荷兰","2","黑皮书","Black Book","Zwartboek","2006","Paul Verhoeven","https://letterboxd.com/tmdb/9075/","https://image.tmdb.org/t/p/w500/s8UyT6tUKJl07gYhPheLAzogG8V.jpg","live",""
"NED","荷兰","3","土耳其狂欢","Turkish Delight","Turks Fruit","1973","Paul Verhoeven","https://letterboxd.com/tmdb/21035/","https://image.tmdb.org/t/p/w500/eqnlXShKgQbF3prxU6XYrC53z6F.jpg","live",""
"JPN","日本","1","红辣椒","Paprika","パプリカ","2006","Satoshi Kon","https://letterboxd.com/tmdb/4977/","https://image.tmdb.org/t/p/w500/bLUUr474Go1DfeN1HLjE3rnZXBq.jpg","live",""
"JPN","日本","2","你的鸟儿会唱歌","And Your Bird Can Sing","君の鳥はうたえる","2018","Sho Miyake","https://letterboxd.com/tmdb/576404/","https://image.tmdb.org/t/p/w500/cfGfVLvXwe0a5W519dvTcISq82Y.jpg","live",""
"JPN","日本","3","海街日记","Our Little Sister","海街diary","2015","Hirokazu Kore-eda","https://letterboxd.com/tmdb/315846/","https://image.tmdb.org/t/p/w500/x9A0AtEg5EEYbDGfP8NqH3C9w8M.jpg","live",""
"SWE","瑞典","1","野草莓","Wild Strawberries","Smultronstället","1957","Ingmar Bergman","https://letterboxd.com/tmdb/614/","https://image.tmdb.org/t/p/w500/iyTD2QnySNMPUPE3IedZQipSWfz.jpg","live",""
"SWE","瑞典","2","寒枝雀静","A Pigeon Sat on a Branch Reflecting on Existence","En duva satt på en gren och funderade på tillvaron","2014","Roy Andersson","https://letterboxd.com/tmdb/110390/","https://image.tmdb.org/t/p/w500/h2uRIr0fNpZbTGH5youi7MDRL2T.jpg","live",""
"SWE","瑞典","3","黑暗中的舞者","Dancer in the Dark","Dancer in the Dark","2000","Lars von Trier","https://letterboxd.com/tmdb/16/","https://image.tmdb.org/t/p/w500/pWzOfTJRZHPNO1VNrMnNFqRcJwg.jpg","live",""
"TUN","突尼斯","1","奥姆里","Hedi","Hedi","2016","Mohamed Ben Attia","https://letterboxd.com/tmdb/378697/","https://image.tmdb.org/t/p/w500/lltkKQaT6nsGRbHmZ51hnw5ltse.jpg","live",""
"TUN","突尼斯","2","贩肤","The Man Who Sold His Skin","L'homme qui a vendu sa peau","2020","Kaouther Ben Hania","https://letterboxd.com/tmdb/669363/","https://image.tmdb.org/t/p/w500/o1wRIwEttuWUByTm1wXsfCstNlh.jpg","live",""
"TUN","突尼斯","3","美人与狗","Beauty and the Dogs","La Belle et la Meute","2017","Kaouther Ben Hania","https://letterboxd.com/tmdb/452010/","https://image.tmdb.org/t/p/w500/xeZ9bvDmAZDlp9mCgDSEc2E66vQ.jpg","live",""
"BEL","比利时","1","罗塞塔","Rosetta","Rosetta","1999","Jean-Pierre Dardenne / Luc Dardenne","https://letterboxd.com/tmdb/11489/","https://image.tmdb.org/t/p/w500/buwLjQPPA9FaATvKzeAppLXiGMB.jpg","live",""
"BEL","比利时","2","孩子","The Child","L'Enfant","2005","Jean-Pierre Dardenne / Luc Dardenne","https://letterboxd.com/tmdb/11490/","https://image.tmdb.org/t/p/w500/dk7ZpsVKLt2nwjQZZIde0WP4oQV.jpg","live",""
"BEL","比利时","3","他人之子","The Son","Le Fils","2002","Jean-Pierre Dardenne / Luc Dardenne","https://letterboxd.com/tmdb/35172/","https://image.tmdb.org/t/p/w500/mbAG0JOVgcOIH8LVVynw87ONgej.jpg","live",""
"EGY","埃及","1","亚库比安大厦","The Yacoubian Building","عمارة يعقوبيان","2006","Marwan Hamed","https://letterboxd.com/tmdb/44085/","https://image.tmdb.org/t/p/w500/iA0XY4w6Nn7mDVfal7tAgKHqfTu.jpg","live",""
"EGY","埃及","2","碰撞","Clash","Eshtebak","2016","Mohamed Diab","https://letterboxd.com/tmdb/393184/","https://image.tmdb.org/t/p/w500/6L1bbZcB7HbpxnlzGOKdhufrYNB.jpg","live",""
"EGY","埃及","3","开罗车站","Cairo Station","Bab el Hadid","1958","Youssef Chahine","https://letterboxd.com/tmdb/47324/","https://image.tmdb.org/t/p/w500/zm8ET6PSfPT6pozgvjR7htaZFjy.jpg","live",""
"IRN","伊朗","1","一次别离","A Separation","Jodaeiye Nader az Simin","2011","Asghar Farhadi","https://letterboxd.com/tmdb/60243/","https://image.tmdb.org/t/p/w500/xQadpnoLokxzN3hRpCPbBGpxsiz.jpg","live",""
"IRN","伊朗","2","何处是我朋友的家","Where Is the Friend's House?","خانه دوست کجاست؟","1987","Abbas Kiarostami","https://letterboxd.com/tmdb/49964/","https://image.tmdb.org/t/p/w500/2rTW4s1kgvoqVs0Kv8ARle1SrkF.jpg","live",""
"IRN","伊朗","3","出租车","Taxi","Taxi","2015","Jafar Panahi","https://letterboxd.com/tmdb/32006","https://image.tmdb.org/t/p/original/hbGalnKNnx3DEPdzdd7tIdgMaeG.jpg","live",""
"NZL","新西兰","1","钢琴课","The Piano","The Piano","1993","Jane Campion","https://letterboxd.com/tmdb/713/","https://image.tmdb.org/t/p/w500/dUxjG6baSzGIgP7R8BQI5rpMuET.jpg","live",""
"NZL","新西兰","2","鲸骑士","Whale Rider","Whale Rider","2002","Niki Caro","https://letterboxd.com/tmdb/1088/","https://image.tmdb.org/t/p/w500/cVBZQZq091KtwBm2qObOv0JTFcH.jpg","live",""
"NZL","新西兰","3","男孩","Boy","Boy","2010","Taika Waititi","https://letterboxd.com/tmdb/39356/","https://image.tmdb.org/t/p/original/jOcwOnCwTbCvJm7jAbeSo4Jgv0H.jpg","live",""
"ESP","西班牙","1","回归","Volver","Volver","2006","Pedro Almodóvar","https://letterboxd.com/tmdb/219/","https://image.tmdb.org/t/p/w500/m1ZUDGTFtVGE3zjTvF8OiQ9um5e.jpg","live",""
"ESP","西班牙","2","关于我母亲的一切","All About My Mother","Todo sobre mi madre","1999","Pedro Almodóvar","https://letterboxd.com/tmdb/99/","https://image.tmdb.org/t/p/w500/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg","live",""
"ESP","西班牙","3","蜂巢幽灵","The Spirit of the Beehive","El espíritu de la colmena","1973","Víctor Erice","https://letterboxd.com/tmdb/4495/","https://image.tmdb.org/t/p/w500/o6pUTkoCh4r6EA2dHNFKA40OmH2.jpg","live",""
"CPV","佛得角","1","待定","TBD","TBD","","TBD","待定","待定","pending",""
"KSA","沙特阿拉伯","1","瓦吉达","Wadjda","Wadjda","2012","Haifaa al-Mansour","https://letterboxd.com/tmdb/129112/","https://image.tmdb.org/t/p/w500/w4iCIZ1kWSOCt0yELjfUMNAToUF.jpg","live",""
"KSA","沙特阿拉伯","2","完美候选人","The Perfect Candidate","المرشحة المثالية","2019","Haifaa al-Mansour","https://letterboxd.com/tmdb/618214/","https://image.tmdb.org/t/p/w500/wxHGzOY7SiEnVt5kp5Hjj5ImpK6.jpg","live",""
"KSA","沙特阿拉伯","3","阿米拉","Amira","Amira","2021","Mohamed Diab","https://letterboxd.com/tmdb/796162/","https://image.tmdb.org/t/p/w500/djrr4soQVEMNqcs64u700HcjmTr.jpg","live",""
"URU","乌拉圭","1","寂静之屋","The Silent House","La casa muda","2010","Gustavo Hernández","https://letterboxd.com/tmdb/56180/","https://image.tmdb.org/t/p/w500/lVl4kAIVswaPR2mmgUMQ1seYoj9.jpg","live",""
"URU","乌拉圭","2","换钱人","The Moneychanger","El cambista","2015","Federico Veiroj","https://letterboxd.com/tmdb/621268/","https://image.tmdb.org/t/p/w500/7fPN6QWkvE7NByS5vqkdFUelIAU.jpg","live",""
"URU","乌拉圭","3","十二年的夜晚","A Twelve-Year Night","La noche de 12 años","2018","Álvaro Brechner","https://letterboxd.com/tmdb/514575/","https://image.tmdb.org/t/p/w500/k1SEABHjk34flsBQigm9ygMuUM4.jpg","live",""
"FRA","法国","1","天涯沦落女","Vagabond","Sans toit ni loi","1985","Agnès Varda","https://letterboxd.com/tmdb/44018/","https://image.tmdb.org/t/p/original/MANiWklet9doKRMNMxYnvuCguJ.jpg","live",""
"FRA","法国","2","中国姑娘","La Chinoise","La Chinoise","1967","Jean-Luc Godard","https://letterboxd.com/tmdb/1629/","https://image.tmdb.org/t/p/original/1ihKkAL83EJBAX8ELCpbBOBpilG.jpg","live",""
"FRA","法国","3","四百击","The 400 Blows","Les Quatre Cents Coups","1959","François Truffaut","https://letterboxd.com/tmdb/147/","https://image.tmdb.org/t/p/w500/12PuU23kkDLvTd0nb8hMlE3oShB.jpg","live",""
"SEN","塞内加尔","1","黑女孩","Black Girl","La Noire de…","1966","Ousmane Sembène","https://letterboxd.com/tmdb/95597/","https://image.tmdb.org/t/p/w500/hYYAk9I9KkscSr8DC30KyDjzsVu.jpg","live",""
"SEN","塞内加尔","2","法特·金尼","Faat Kiné","Faat Kiné","2000","Ousmane Sembène","https://letterboxd.com/tmdb/125700/","https://image.tmdb.org/t/p/w500/tTABUbRei4KBO34nHRnBd4KYMLS.jpg","live",""
"SEN","塞内加尔","3","穆拉德","Moolaadé","Moolaadé","2004","Ousmane Sembène","https://letterboxd.com/tmdb/39504/","https://image.tmdb.org/t/p/w500/9S7lWdLExHw6LP3Vq7smiyGY5MR.jpg","live",""
"IRQ","伊拉克","1","阿拉姆","Ahlaam","أحلام","2005","Mohamed Al-Daradji","https://letterboxd.com/tmdb/97575/","https://image.tmdb.org/t/p/w500/sTV8PPiQlklMXwVALZlUKrgzopK.jpg","live",""
"IRQ","伊拉克","2","巴比伦之子","Son of Babylon","ابن بابل","2009","Mohamed Al-Daradji","https://letterboxd.com/tmdb/56807/","https://image.tmdb.org/t/p/w500/mix4tE0JZBT1v4l72PPlbAvQioM.jpg","live",""
"NOR","挪威","1","世界上最糟糕的人","The Worst Person in the World","Verdens verste menneske","2021","Joachim Trier","https://letterboxd.com/tmdb/660120/","https://image.tmdb.org/t/p/w500/1NxGNQchGBTHXJ6RShLY1IlZqWn.jpg","live",""
"NOR","挪威","2","梦","Drømmer","Drømmer","2024","Dag Johan Haugerud","https://letterboxd.com/tmdb/1228682/","https://image.tmdb.org/t/p/w500/ctBhKsd2AGlubApDf7VogbFKRlG.jpg","live",""
"NOR","挪威","3","情感价值","Sentimental Value","Sentimental Value","2024","Joachim Trier","https://letterboxd.com/tmdb/1124566/","https://image.tmdb.org/t/p/original/m5vljwBpgqYFDKV66sExHr747Ku.jpg","live",""
"ARG","阿根廷","1","谜一样的双眼","The Secret in Their Eyes","El secreto de sus ojos","2009","Juan José Campanella","https://letterboxd.com/tmdb/25376/","https://image.tmdb.org/t/p/w500/dkeAwfZzwL3WvToydE3CXiY80E0.jpg","live",""
"ARG","阿根廷","2","荒蛮故事","Wild Tales","Relatos salvajes","2014","Damián Szifron","https://letterboxd.com/tmdb/265195/","https://image.tmdb.org/t/p/w500/bU7IUeTdYFOgeUPtwpWKQNhORMC.jpg","live",""
"ARG","阿根廷","3","官方故事","The Official Story","La historia oficial","1985","Luis Puenzo","https://letterboxd.com/tmdb/29263/","https://image.tmdb.org/t/p/w500/kkeUKaETggOrR0eW9nzPOIoZkZH.jpg","live",""
"ALG","阿尔及利亚","1","阿尔及尔之战","The Battle of Algiers","La battaglia di Algeri","1966","Gillo Pontecorvo","https://letterboxd.com/tmdb/17295/","https://image.tmdb.org/t/p/w500/2p3AFtOHFvP6OeVMqlnL1zLKOqL.jpg","live",""
"ALG","阿尔及利亚","2","纸人","Papicha","Papicha","2019","Mounia Meddour","https://letterboxd.com/tmdb/592807/","https://image.tmdb.org/t/p/w500/5SsvyPphkVkByyh0pfzLe00CC2S.jpg","live",""
"ALG","阿尔及利亚","3","罪恶之外","Hors la loi","Outside the Law","2010","Rachid Bouchareb","https://letterboxd.com/tmdb/47904/","https://image.tmdb.org/t/p/w500/6Ol0JPw7wcvY34VDBLNjXsemg5O.jpg","live",""
"AUT","奥地利","1","白丝带","The White Ribbon","Das weiße Band","2009","Michael Haneke","https://letterboxd.com/tmdb/37903/","https://image.tmdb.org/t/p/w500/54dlnGDexrwAFlDb8HWKfmmX4LB.jpg","live",""
"AUT","奥地利","2","爱","Amour","Amour","2012","Michael Haneke","https://letterboxd.com/tmdb/86837/","https://image.tmdb.org/t/p/w500/19hyCudualHxCD0GrEngqsi0wBF.jpg","live",""
"AUT","奥地利","3","快乐结局","Happy End","Happy End","2017","Michael Haneke","https://letterboxd.com/tmdb/399031/","https://image.tmdb.org/t/p/w500/tAHzP9O0MOswvWFv5jtWGTyMYXl.jpg","live",""
"JOR","约旦","1","希布","Theeb","Theeb","2014","Naji Abu Nowar","https://letterboxd.com/tmdb/287628/","https://image.tmdb.org/t/p/w500/qixAor6q0GDPXcMEVgVi2fnWMb9.jpg","live",""
"JOR","约旦","2","阿布雷德上尉","Captain Abu Raed","Captain Abu Raed","2007","Amin Matalqa","https://letterboxd.com/tmdb/35637/","https://image.tmdb.org/t/p/w500/f3mBW8AR5y6at3jj7FyLgMvBqGO.jpg","live",""
"JOR","约旦","3","阿米拉","Amira","Amira","2021","Mohamed Diab","https://letterboxd.com/tmdb/796162/","https://image.tmdb.org/t/p/w500/djrr4soQVEMNqcs64u700HcjmTr.jpg","live",""
"POR","葡萄牙","1","禁忌","Tabu","Tabu","2012","Miguel Gomes","https://letterboxd.com/tmdb/93858/","https://image.tmdb.org/t/p/w500/mtr1ztUkJs6jsYdzK3gBLsuffr4.jpg","live",""
"POR","葡萄牙","2","少年时代","Colossal Youth","Juventude em Marcha","2006","Pedro Costa","https://letterboxd.com/tmdb/82404/","https://image.tmdb.org/t/p/w500/7gXzGezgUDaYsauYGPhM3Dmbt2g.jpg","live",""
"POR","葡萄牙","3","虚无工厂","The Nothing Factory","A Fábrica de Nada","2017","Pedro Pinho","https://letterboxd.com/tmdb/457193/","https://image.tmdb.org/t/p/w500/gr53Gy3i4M4udJkFZ73QoB3r97a.jpg","live",""
"COD","刚果(金)","1","待定","TBD","TBD","","TBD","待定","待定","pending",""
"UZB","乌兹别克斯坦","1","待定","TBD","TBD","","TBD","待定","待定","pending",""
"COL","哥伦比亚","1","蛇之拥抱","Embrace of the Serpent","El abrazo de la serpiente","2015","Ciro Guerra","https://letterboxd.com/tmdb/336808/","https://image.tmdb.org/t/p/w500/t3Lmw8jvm7tpik0lSkub8hU4oRW.jpg","live",""
"COL","哥伦比亚","2","DC广场","La Playa DC","La Playa DC","2012","Juan Andrés Arango","https://letterboxd.com/tmdb/133878/","https://image.tmdb.org/t/p/w500/ii7BpukjRJmZkhBXNlE3Pd6VkH1.jpg","live",""
"COL","哥伦比亚","3","候鸟","Birds of Passage","Pájaros de verano","2018","Ciro Guerra;Cristina Gallego","https://letterboxd.com/tmdb/438146/","https://image.tmdb.org/t/p/w500/fUXD9HrnDqZKnw6p1iZnyeQYShd.jpg","live",""
"ENG","英格兰","1","我是布莱克","I, Daniel Blake","I, Daniel Blake","2016","Ken Loach","https://letterboxd.com/tmdb/374473/","https://image.tmdb.org/t/p/w500/nu3WVABXz2W85N6JXTZOT1aWS3b.jpg","live",""
"ENG","英格兰","2","鱼缸","Fish Tank","Fish Tank","2009","Andrea Arnold","https://letterboxd.com/tmdb/24469/","https://image.tmdb.org/t/p/w500/rI3MKBDsWzQHi9PWDAMKkgmYcff.jpg","live",""
"ENG","英格兰","3","这就是英格兰","This Is England","This Is England","2006","Shane Meadows","https://letterboxd.com/tmdb/11798/","https://image.tmdb.org/t/p/w500/6ZVx7wLrlgSKxkYC2CRg6Zek0fG.jpg","live",""
"CRO","克罗地亚","1","最炽热的太阳","The High Sun","Sone je visoko","2015","Dalibor Matanić","https://letterboxd.com/tmdb/336206/","https://image.tmdb.org/t/p/w500/16ya0jVWtxojF57aL2KJciZxKKB.jpg","live",""
"CRO","克罗地亚","2","海鳝","Murina","Murina","2021","Antoneta Alamat Kusijanović","https://letterboxd.com/tmdb/838148/","https://image.tmdb.org/t/p/original/cWiI5utAnJmQ8JBTbzK8Sd9Rs0F.jpg","live",""
